Title,Genres,Company,Platform,Rel
Medal of Honor: Heroes,Action,EA,Sony PSP,2006
Tekken: Dark Resurrection,Action,"Namco,Sony",Sony PSP,2006
Need for Speed: Carbon,Racing / Driving,EA,X360,2006
Mario vs. Donkey Kong 2: March of the Minis,Action,Nintendo,Nintendo DS,2006
Sonic Rivals,"Action,Racing / Driving",Sega,Sony PSP,2006
NCAA Football 07,Sports,EA,X360,2006
Mortal Kombat: Unchained,Action,Midway,Sony PSP,2006
Tom Clancy's Splinter Cell: Double Agent,Action,Ubisoft,X360,2006
Tetris DS,Strategy,Nintendo,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,,Sony PSP,2006
Red Steel,Action,Ubisoft,Nintendo Wii,2006
Metroid Prime: Hunters,Action,Nintendo,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,,X360,2006
NBA 2K7 ,Sports,2K,X360,2006
SEGA Genesis Collection,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,Sony PSP,2006
Call of Duty 3,Action,Activision,PlayStation 3,2006
NBA Live 07,Sports,EA,Sony PSP,2006
Madden NFL 07,Sports,EA,PlayStation 3,2006
SpongeBob SquarePants: The Yellow Avenger,Action,THQ,Sony PSP,2006
Madden NFL 07,Sports,EA,Nintendo Wii,2006
Fight Night Round 3,"Action,Simulation,Sports",EA,Sony PSP,2006
Need for Speed: Carbon,Racing / Driving,EA,PlayStation 3,2006
Need for Speed: Carbon,Racing / Driving,EA,Nintendo Wii,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,X360,2006
Tiger Woods PGA Tour 07,Sports,EA,X360,2006
Viva Pi$?ata,"Simulation,Strategy",Microsoft,X360,2006
SpongeBob Squarepants: Creature from the Krusty Krab,"Action,Adventure",THQ,Nintendo Wii,2006
Tony Hawk's Project 8,Sports,Activision,Sony PSP,2006
Tony Hawk's Project 8,Sports,Activision,X360,2006
NBA LIVE 07 ,Sports,EA,X360,2006
Excite Truck,Racing / Driving,Nintendo,Nintendo Wii,2006
Harvest Moon DS,"Role-Playing (RPG),Simulation",,Nintendo DS,2006
Star Fox Command,Action,Nintendo,Nintendo DS,2006
Metal Gear Solid: Portable Ops,"Action,Strategy",Konami,Sony PSP,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,Nintendo Wii,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,X360,2006
Major League Baseball 2K6,Sports,2K,X360,2006
NCAA Football 07,Sports,EA,Sony PSP,2006
MLB 06: The Show,Sports,Sony,Sony PSP,2006
Blazing Angels: Squadrons of WWII,Action,Ubisoft,PlayStation 3,2006
WWE SmackDown vs. Raw 2007,Sports,THQ,Sony PSP,2006
Rune Factory: A Fantasy Harvest Moon,"Role-Playing (RPG),Simulation",,Nintendo DS,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,Sony PSP,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,PlayStation 3,2006
