Title,Genres,Company,Platform,Rel
LEGO Batman: The Videogame,Action,,X360,2008
Tom Clancy's Rainbow Six: Vegas 2,Action,Ubisoft,X360,2008
Kirby Super Star Ultra,Action,Nintendo,Nintendo DS,2008
Star Wars: The Force Unleashed,Action,,X360,2008
God of War: Chains of Olympus,Action,Sony,Sony PSP,2008
Fallout 3,"Action,Role-Playing (RPG)",,PlayStation 3,2008
Pure,"Racing / Driving,Sports",Disney,X360,2008
LEGO Indiana Jones: The Original Adventures,Action,,Nintendo Wii,2008
Rock Band,"Action,Simulation",,Nintendo Wii,2008
LEGO Batman: The Videogame,"Action,Racing / Driving",,Nintendo DS,2008
Saints Row 2,"Action,Racing / Driving",THQ,X360,2008
LEGO Batman: The Videogame,Action,,Nintendo Wii,2008
Call of Duty: World at War,Action,Activision,Nintendo Wii,2008
Midnight Club: Los Angeles,Racing / Driving,Rockstar,X360,2008
Mortal Kombat vs. DC Universe,Action,Midway,PlayStation 3,2008
Army of Two,Action,EA,X360,2008
Resistance 2,Action,Sony,PlayStation 3,2008
Rock Band 2,"Action,Simulation",,PlayStation 3,2008
Midnight Club: Los Angeles,Racing / Driving,Rockstar,PlayStation 3,2008
Sonic Unleashed,Action,Sega,Nintendo Wii,2008
NBA 2K9 ,Sports,2K,X360,2008
Guitar Hero: World Tour,"Action,Simulation",Activision,PlayStation 3,2008
Guitar Hero: Aerosmith,"Action,Simulation",Activision,Nintendo Wii,2008
Star Wars: The Force Unleashed,Action,,Nintendo Wii,2008
Burnout Paradise,"Action,Racing / Driving",EA,PlayStation 3,2008
Pokmon Ranger: Shadows of Almia,"Action,Role-Playing (RPG)",Nintendo,Nintendo DS,2008
Mortal Kombat vs. DC Universe,Action,Midway,X360,2008
Dead Space,Action,EA,PlayStation 3,2008
Shaun White Snowboarding: Road Trip,Sports,Ubisoft,Nintendo Wii,2008
Star Wars: The Force Unleashed,Action,,PlayStation 3,2008
Guitar Hero: Aerosmith,"Action,Simulation",Activision,X360,2008
SOCOM: U.S. Navy SEALs - Confrontation,Action,Sony,PlayStation 3,2008
SoulCalibur IV,Action,Namco,X360,2008
Battlefield: Bad Company,Action,EA,X360,2008
Saints Row 2,"Action,Racing / Driving",THQ,PlayStation 3,2008
Guitar Hero: On Tour - Decades,"Action,Simulation",Activision,Nintendo DS,2008
Devil May Cry 4,Action,Capcom,X360,2008
Mystery Case Files: MillionHeir,Adventure,Nintendo,Nintendo DS,2008
Battlefield: Bad Company,Action,EA,PlayStation 3,2008
Army of Two,Action,EA,PlayStation 3,2008
Rayman Raving Rabbids TV Party,"Action,Racing / Driving,Sports,Strategy",Ubisoft,Nintendo Wii,2008
The House of the Dead 2 & 3 Return,Action,Sega,Nintendo Wii,2008
Far Cry 2,Action,Ubisoft,X360,2008
Boom Blox,"Action,Strategy",EA,Nintendo Wii,2008
Spore Creatures,"Adventure,Simulation",EA,Nintendo DS,2008
Madden NFL 09,Sports,EA,Sony PSP,2008
NCAA Football 09,Sports,EA,X360,2008
MLB 08: The Show,Sports,Sony,PlayStation 3,2008
Tom Clancy's Rainbow Six: Vegas 2,Action,Ubisoft,PlayStation 3,2008
Mercenaries 2: World in Flames,Action,EA,X360,2008
Need for Speed: Undercover,Racing / Driving,EA,X360,2008
Guitar Hero: Aerosmith,"Action,Simulation",Activision,PlayStation 3,2008
SoulCalibur IV,Action,"Namco,Ubisoft",PlayStation 3,2008
Valkyria Chronicles,"Action,Role-Playing (RPG),Strategy",Sega,PlayStation 3,2008
Harvest Moon: Tree of Tranquility,"Role-Playing (RPG),Simulation",,Nintendo Wii,2008
Star Wars: The Clone Wars - Jedi Alliance,"Action,Adventure",,Nintendo DS,2008
Need for Speed: Undercover,Racing / Driving,EA,PlayStation 3,2008
Wario Land: Shake It!,Action,Nintendo,Nintendo Wii,2008
NBA 2K9,Sports,2K,PlayStation 3,2008
Major League Baseball 2K9,Sports,2K,X360,2008
NCAA Football 09,Sports,EA,PlayStation 3,2008
Kung Fu Panda,Action,Activision,Nintendo DS,2008
Devil May Cry 4,Action,Capcom,PlayStation 3,2008
Tom Clancy's EndWar,Strategy,Ubisoft,X360,2008
LEGO Batman: The Videogame,Action,,Sony PSP,2008
BioShock,Action,2K,PlayStation 3,2008
Bully: Scholarship Edition,"Action,Adventure",Rockstar,X360,2008
Prince of Persia,Action,Ubisoft,X360,2008
Kung Fu Panda,Action,Activision,Nintendo Wii,2008
Sonic Chronicles: The Dark Brotherhood,"Action,Role-Playing (RPG)",Sega,Nintendo DS,2008
Chrono Trigger,Role-Playing (RPG),SquareEnix,Nintendo DS,2008
Tomb Raider: Underworld,Action,Eidos,X360,2008
skate it,"Action,Sports",EA,Nintendo Wii,2008
The Legendary Starfy,"Action,Adventure",Nintendo,Nintendo DS,2008
Mirror's Edge,Action,EA,X360,2008
Haze,Action,Ubisoft,PlayStation 3,2008
Dissidia: Final Fantasy,"Action,Role-Playing (RPG)",SquareEnix,Sony PSP,2008
Sid Meier's Civilization: Revolution,Strategy,2K,X360,2008
Wall-E,Action,THQ,Nintendo Wii,2008
Prince of Persia,Action,Ubisoft,PlayStation 3,2008
NHL 09 ,Sports,EA,X360,2008
Brothers in Arms: Hell's Highway,Action,Ubisoft,X360,2008
Shaun White Snowboarding,Sports,Ubisoft,X360,2008
Turok,Action,,X360,2008
Iron Man,Action,Sega,Sony PSP,2008
De Blob,Action,THQ,Nintendo Wii,2008
Sonic Riders: Zero Gravity,Racing / Driving,Sega,Nintendo Wii,2008
Rhythm Heaven,Action,Nintendo,Nintendo DS,2008
Tomb Raider: Underworld,Action,Eidos,PlayStation 3,2008
Advance Wars: Days of Ruin,Strategy,Nintendo,Nintendo DS,2008
LEGO Batman: The Videogame,Action,,PlayStation 3,2008
Far Cry 2,Action,Ubisoft,PlayStation 3,2008
Harvest Moon: Island of Happiness,"Simulation,Strategy",,Nintendo DS,2008
Brothers in Arms: Hell's Highway,Action,Ubisoft,PlayStation 3,2008
Sonic Unleashed,"Action,Adventure",Sega,PlayStation 3,2008
Pinball Hall of Fame: The Williams Collection,Simulation,,Nintendo Wii,2008
Sonic Unleashed,"Action,Adventure",Sega,X360,2008
Samba de Amigo,Action,Sega,Nintendo Wii,2008
?kami,Action,Capcom,Nintendo Wii,2008
LEGO Indiana Jones: The Original Adventures,Action,,PlayStation 3,2008
MotorStorm: Pacific Rift,"Action,Racing / Driving,Sports",Sony,PlayStation 3,2008
Tiger Woods PGA Tour 09,Sports,EA,X360,2008
SimCity Creator,Simulation,EA,Nintendo Wii,2008
Tiger Woods PGA Tour 09,Sports,EA,PlayStation 3,2008
Sid Meier's Civilization: Revolution,"Simulation,Strategy",2K,Nintendo DS,2008
Pure,"Racing / Driving,Sports",Disney,PlayStation 3,2008
Turok,Action,,PlayStation 3,2008
Crash: Mind over Mutant,Action,,Nintendo Wii,2008
Spider-Man: Web of Shadows,Action,Activision,X360,2008
Frontlines: Fuel of War,Action,THQ,X360,2008
GRID,"Racing / Driving,Simulation,Sports",,X360,2008
Too Human,"Action,Role-Playing (RPG)",Microsoft,X360,2008
Speed Racer: The Videogame,Racing / Driving,,Nintendo Wii,2008
LEGO Indiana Jones: The Original Adventures,Action,,Sony PSP,2008
SEGA Bass Fishing,Sports,Sega,Nintendo Wii,2008
The Chronicles of Narnia: Prince Caspian,"Action,Role-Playing (RPG)",Disney,Nintendo Wii,2008
Iron Man,Action,Sega,Nintendo DS,2008
The Sims 2: Apartment Pets,Simulation,EA,Nintendo DS,2008
MLB 08: The Show,Sports,Sony,Sony PSP,2008
Iron Man,Action,Sega,PlayStation 3,2008
Madagascar: Escape 2 Africa,"Action,Adventure",Activision,Nintendo DS,2008
GRID,"Racing / Driving,Simulation,Sports",,PlayStation 3,2008
NHL 09,Sports,EA,PlayStation 3,2008
Banjo-Kazooie: Nuts & Bolts,"Action,Adventure,Racing / Driving,Sports",Microsoft,X360,2008
Hot Shots Golf: Out of Bounds,Sports,Sony,PlayStation 3,2008
Rune Factory 2: A Fantasy Harvest Moon,"Action,Role-Playing (RPG),Simulation",,Nintendo DS,2008
SimCity Creator,Simulation,EA,Nintendo DS,2008
Patapon,"Action,Strategy",Sony,Sony PSP,2008
Shaun White Snowboarding,Sports,Ubisoft,PlayStation 3,2008
Iron Man,Action,Sega,Nintendo Wii,2008
Sega Superstars Tennis,Sports,Sega,Nintendo DS,2008
Lost Planet: Extreme Condition,Action,Capcom,PlayStation 3,2008
Mirror's Edge,Action,EA,PlayStation 3,2008
The Incredible Hulk,Action,Sega,Nintendo Wii,2008
Condemned 2: Bloodshot,"Action,Adventure",Sega,X360,2008
Sega Superstars Tennis,Sports,Sega,Nintendo Wii,2008
Speed Racer: The Videogame,Racing / Driving,,Nintendo DS,2008
Viva Pi$?ata: Pocket Paradise,"Simulation,Strategy",THQ,Nintendo DS,2008
Tom Clancy's EndWar,Strategy,Ubisoft,PlayStation 3,2008
Iron Man,Action,Sega,X360,2008
Need for Speed: Undercover,Racing / Driving,EA,Nintendo Wii,2008
Wall-E,Action,THQ,X360,2008
Spectrobes: Beyond the Portals,"Action,Role-Playing (RPG)",Disney,Nintendo DS,2008
MX vs. ATV Untamed,Educational,Ubisoft,Sony PSP,2008
Mercenaries 2: World in Flames,Action,EA,PlayStation 3,2008
Infinite Undiscovery,"Action,Role-Playing (RPG)",SquareEnix,X360,2008
TNA iMPACT!,Sports,Midway,X360,2008
Enemy Territory: Quake Wars,Action,Activision,X360,2008
Fire Emblem: Shadow Dragon,"Role-Playing (RPG),Strategy",Nintendo,Nintendo DS,2008
Neopets Puzzle Adventure,"Adventure,Role-Playing (RPG),Strategy",Capcom,Nintendo DS,2008
Tales of Vesperia,"Adventure,Role-Playing (RPG)",Namco,X360,2008
SingStar ABBA,Action,Sony,PlayStation 3,2008
Dragon Ball Z: Burst Limit,Action,"Atari,Namco",X360,2008
Apollo Justice: Ace Attorney,"Adventure,Simulation",Capcom,Nintendo DS,2008
Castlevania: Order of Ecclesia,"Action,Adventure,Role-Playing (RPG)",Konami,Nintendo DS,2008
Mega Man Star Force 2: Zerker X Ninja,"Action,Role-Playing (RPG)",Capcom,Nintendo DS,2008
Enemy Territory: Quake Wars,Action,Activision,PlayStation 3,2008
Namco Museum: Virtual Arcade,"Action,Racing / Driving",Namco,X360,2008
NASCAR 09,"Racing / Driving,Sports",EA,X360,2008
Turning Point: Fall of Liberty,Action,,X360,2008
Summer Athletics 2009,Sports,,Nintendo Wii,2008
Unreal Tournament III,Action,Midway,X360,2008
Shaun White Snowboarding,"Racing / Driving,Sports",Ubisoft,Nintendo DS,2008
Dark Sector,Action,,PlayStation 3,2008
The Last Remnant,Role-Playing (RPG),SquareEnix,X360,2008
Dragon Ball Z: Burst Limit,Action,"Atari,Namco",PlayStation 3,2008
NASCAR 09,"Racing / Driving,Sports",EA,PlayStation 3,2008
Turning Point: Fall of Liberty,Action,,PlayStation 3,2008
MX vs. ATV Untamed,Racing / Driving,THQ,Nintendo Wii,2008
Crash: Mind over Mutant,Action,,X360,2008
The Incredible Hulk,Action,Sega,X360,2008
Silent Hill: Homecoming,Action,Konami,X360,2008
TNA iMPACT!,Sports,Midway,PlayStation 3,2008
The Incredible Hulk,Action,Sega,PlayStation 3,2008
Kung Fu Panda,Action,Activision,PlayStation 3,2008
Dark Sector,Action,,X360,2008
Tales of Symphonia: Dawn of the New World,Role-Playing (RPG),Namco,Nintendo Wii,2008
Valkyrie Profile: Covenant of the Plume,"Role-Playing (RPG),Strategy",SquareEnix,Nintendo DS,2008
Spider-Man: Web of Shadows,Action,Activision,PlayStation 3,2008
TV Show King,Strategy,,Nintendo Wii,2008
AC/DC Live: Rock Band - Track Pack,"Action,Simulation",,X360,2008
The Chronicles of Narnia: Prince Caspian,Role-Playing (RPG),Disney,Nintendo DS,2008
Hot Shots Golf: Open Tee 2,Sports,Sony,Sony PSP,2008
AC/DC Live: Rock Band - Track Pack,"Action,Simulation",,PlayStation 3,2008
Harvest Moon: Magical Melody,"Role-Playing (RPG),Simulation",,Nintendo Wii,2008
Dynasty Warriors 6,"Action,Strategy",,PlayStation 3,2008
Order Up!,"Action,Simulation",,Nintendo Wii,2008
NBA Ballers: Chosen One,Sports,Midway,X360,2008
Age of Empires: Mythologies,Strategy,THQ,Nintendo DS,2008
LocoRoco 2,"Action,Strategy",Sony,Sony PSP,2008
Star Ocean: First Departure,"Action,Role-Playing (RPG)",SquareEnix,Sony PSP,2008
Lost: Via Domus,"Action,Adventure",Ubisoft,PlayStation 3,2008
Tetris Party,Strategy,,Nintendo Wii,2008
Bully: Scholarship Edition,"Action,Adventure",Rockstar,Nintendo Wii,2008
The Spiderwick Chronicles,"Action,Adventure",,Nintendo Wii,2008
Dynasty Warriors 6,"Action,Strategy",,X360,2008
Facebreaker,Sports,EA,X360,2008
Ninja Gaiden: Dragon Sword,Action,,Nintendo DS,2008
Condemned 2: Bloodshot,"Action,Adventure",Sega,PlayStation 3,2008
Silent Hill: Homecoming,Action,Konami,PlayStation 3,2008
Command & Conquer: Red Alert 3,Strategy,EA,X360,2008
Viking: Battle for Asgard,Action,Sega,X360,2008
Beijing 2008,Sports,Sega,X360,2008
Don King Presents: Prizefighter,Sports,2K,X360,2008
Bomberman,"Action,Strategy",,Sony PSP,2008
Ferrari Challenge Trofeo Pirelli,Racing / Driving,,PlayStation 3,2008
Command & Conquer 3: Kane's Wrath,Strategy,EA,X360,2008
Lost: Via Domus,"Action,Adventure",Ubisoft,X360,2008
NHL 2K9 ,Sports,2K,X360,2008
Eternal Sonata,Role-Playing (RPG),Namco,PlayStation 3,2008
Viva Pi$?ata: Trouble in Paradise,"Racing / Driving,Simulation,Strategy",Microsoft,X360,2008
FlatOut: Head On,"Racing / Driving,Sports",,Sony PSP,2008
Viking: Battle for Asgard,Action,Sega,PlayStation 3,2008
Neopets Puzzle Adventure,"Role-Playing (RPG),Strategy",Capcom,Nintendo Wii,2008
TNA iMPACT!,Sports,Midway,Nintendo Wii,2008
Tomb Raider: Underworld,Action,Eidos,Nintendo Wii,2008
The Club,Action,Sega,X360,2008
The Chronicles of Narnia: Prince Caspian,"Action,Role-Playing (RPG)",Disney,X360,2008
Cabela's Dangerous Hunts 2009,Sports,Activision,X360,2008
Dark Messiah of Might and Magic: Elements,"Action,Role-Playing (RPG)",Ubisoft,X360,2008
Fracture,Action,,X360,2008
Bomberman Land,Action,,Nintendo Wii,2008
Nitrobike,"Action,Racing / Driving,Sports",Ubisoft,Nintendo Wii,2008
Culdcept Saga,Strategy,Namco,X360,2008
Facebreaker,Sports,,PlayStation 3,2008
MLB Power Pros 2008,Sports,2K,Nintendo Wii,2008
Mushroom Men: The Spore Wars,Action,,Nintendo Wii,2008
Dragon Quest V: Hand of the Heavenly Bride,Role-Playing (RPG),SquareEnix,Nintendo DS,2008
Ninjatown,Strategy,,Nintendo DS,2008
Super Dodgeball Brawlers,"Action,Sports",,Nintendo DS,2008
Dokapon Kingdom,"Role-Playing (RPG),Strategy",,Nintendo Wii,2008
Alone in the Dark,"Action,Adventure,Racing / Driving",Atari,X360,2008
NBA 09: The Inside,Sports,Sony,PlayStation 3,2008
Sega Superstars Tennis,Sports,Sega,PlayStation 3,2008
Baja: Edge of Control,"Racing / Driving,Simulation,Sports",THQ,X360,2008
Destroy All Humans! Big Willy Unleashed,Adventure,THQ,Nintendo Wii,2008
Space Invaders Extreme,Action,SquareEnix,Nintendo DS,2008
Ultimate Band,"Action,Simulation",Disney,Nintendo DS,2008
The Club,Action,Sega,PlayStation 3,2008
Madagascar: Escape 2 Africa,Action,Activision,PlayStation 3,2008
NBA Ballers: Chosen One,Sports,Midway,PlayStation 3,2008
Dream Pinball 3D,Simulation,,Nintendo Wii,2008
Madagascar: Escape 2 Africa,Action,Activision,X360,2008
Pro Evolution Soccer 2008,Sports,Konami,Nintendo Wii,2008
Avalon Code,"Action,Adventure,Role-Playing (RPG)",,Nintendo DS,2008
Disgaea DS,"Role-Playing (RPG),Strategy",,Nintendo DS,2008
Guitar Rock Tour,Simulation,,Nintendo DS,2008
Lost in Blue 3,Role-Playing (RPG),Konami,Nintendo DS,2008
Syberia,Adventure,,Nintendo DS,2008
Afrika,"Adventure,Simulation",Sony,PlayStation 3,2008
NFL Head Coach 09,"Simulation,Sports,Strategy",EA,PlayStation 3,2008
NHL 2K9,Sports,2K,PlayStation 3,2008
Brothers in Arms: Double Time,"Action,Strategy",Ubisoft,Nintendo Wii,2008
ObsCure: The Aftermath,Action,,Nintendo Wii,2008
MotoGP 08,"Racing / Driving,Simulation,Sports",,X360,2008
NFL Head Coach 09,"Simulation,Sports,Strategy",EA,X360,2008
NFL Tour,"Action,Sports",EA,X360,2008
Pinball Hall of Fame: The Williams Collection,Simulation,,Sony PSP,2008
Baja: Edge of Control,"Racing / Driving,Simulation,Sports",THQ,PlayStation 3,2008
NFL Tour,"Action,Sports",EA,PlayStation 3,2008
Wall-E,Action,THQ,PlayStation 3,2008
Ninja Reflex,Action,EA,Nintendo Wii,2008
Conflict: Denied Ops,Action,Eidos,X360,2008
Top Spin 3,Sports,2K,X360,2008
Blitz: The League II,"Action,Sports",Midway,PlayStation 3,2008
Hellboy: The Science of Evil,"Action,Adventure",Konami,PlayStation 3,2008
Castlevania Judgment,Action,Konami,Nintendo Wii,2008
Death Jr. II: Root of Evil,Action,Eidos,Nintendo Wii,2008
Raiden IV,Action,,X360,2008
Metal Slug 7,Action,,Nintendo DS,2008
Spider-Man: Web of Shadows,Action,Activision,Nintendo DS,2008
Trauma Center: Under The Knife 2,"Action,Simulation",,Nintendo DS,2008
Fracture,Action,,PlayStation 3,2008
Alone in the Dark,"Action,Adventure,Racing / Driving",Atari,Nintendo Wii,2008
Final Fantasy Fables: Chocobo's Dungeon,"Action,Role-Playing (RPG)",SquareEnix,Nintendo Wii,2008
The King of Fighters Collection: The Orochi Saga,Action,,Nintendo Wii,2008
Klonoa: Door to Phantomile,Action,Namco,Nintendo Wii,2008
Samurai Warriors: Katana,Action,,Nintendo Wii,2008
Battle of the Bands,"Action,Simulation",THQ,Nintendo Wii,2008
Hellboy: The Science of Evil,"Action,Adventure",Konami,X360,2008
Dragon Ball: Origins,"Action,Adventure",Atari,Nintendo DS,2008
Ninja Reflex,Action,EA,Nintendo DS,2008
Space Bust-A-Move,Strategy,SquareEnix,Nintendo DS,2008
Top Spin 3,Sports,2K,PlayStation 3,2008
UEFA Euro 2008,Sports,EA,PlayStation 3,2008
"Blast Works: Build, Trade, Destroy",Action,,Nintendo Wii,2008
FIFA Street 3,Sports,EA,X360,2008
Blitz: The League II,"Action,Sports",Midway,X360,2008
Space Chimps,"Action,Adventure",,X360,2008
The Spiderwick Chronicles,"Action,Adventure",,X360,2008
Etrian Odyssey II: Heroes of Lagaard,Role-Playing (RPG),,Nintendo DS,2008
Line Rider 2: Unbound,"Simulation,Sports",,Nintendo DS,2008
The King of Fighters Collection: The Orochi Saga,Action,,Sony PSP,2008
Target: Terror,Action,Konami,Nintendo Wii,2008
Legendary,Action,Atari,X360,2008
Universe at War: Earth Assault,"Action,Strategy",Sega,X360,2008
Smash Court Tennis 3,"Simulation,Sports",Atari,X360,2008
Code Lyoko: Fall of X.A.N.A,"Action,Role-Playing (RPG)",,Nintendo DS,2008
Knights in the Nightmare,"Role-Playing (RPG),Strategy",,Nintendo DS,2008
Lock's Quest,"Action,Adventure,Strategy",THQ,Nintendo DS,2008
Master of the Monster Lair,Role-Playing (RPG),,Nintendo DS,2008
N+,Action,Atari,Nintendo DS,2008
Pipe Mania,Strategy,,Nintendo DS,2008
The Spiderwick Chronicles,Role-Playing (RPG),,Nintendo DS,2008
Summon Night: Twin Age,Role-Playing (RPG),,Nintendo DS,2008
Wild Arms XF,Role-Playing (RPG),,Sony PSP,2008
FIFA Street 3,Sports,EA,PlayStation 3,2008
MotoGP 08,"Racing / Driving,Simulation,Sports",,PlayStation 3,2008
Harvey Birdman: Attorney at Law,Adventure,Capcom,Nintendo Wii,2008
Let's Tap,Simulation,Sega,Nintendo Wii,2008
NHL 2K9,Sports,2K,Nintendo Wii,2008
Conflict: Denied Ops,Action,Eidos,PlayStation 3,2008
Worms: A Space Oddity,"Action,Strategy",THQ,Nintendo Wii,2008
UEFA Euro 2008,Sports,EA,X360,2008
Overlord: Raising Hell,"Action,Strategy",,PlayStation 3,2008
Battle Fantasia,"Action,Role-Playing (RPG)",,X360,2008
Bangai-O Spirits,Action,,Nintendo DS,2008
Dungeon Explorer: Warriors of Ancient Arts,"Action,Role-Playing (RPG)",,Nintendo DS,2008
From the Abyss,"Action,Role-Playing (RPG)",,Nintendo DS,2008
New International Track & Field,"Action,Sports",Konami,Nintendo DS,2008
Soul Bubbles,Strategy,Eidos,Nintendo DS,2008
Tropix!,Action,,Nintendo DS,2008
Unsolved Crimes,"Action,Adventure,Racing / Driving",,Nintendo DS,2008
Zubo,"Adventure,Role-Playing (RPG),Strategy",EA,Nintendo DS,2008
Ford Racing Off Road,Racing / Driving,,Sony PSP,2008
Harvey Birdman: Attorney at Law,Adventure,Capcom,Sony PSP,2008
Secret Agent Clank,Action,Sony,Sony PSP,2008
Space Invaders Extreme,Action,SquareEnix,Sony PSP,2008
Armored Core: For Answer,Action,Ubisoft,PlayStation 3,2008
Legendary,Action,Atari,PlayStation 3,2008
Agatha Christie: Evil Under the Sun,Adventure,,Nintendo Wii,2008
Agatha Christie: And Then There Were None,Adventure,,Nintendo Wii,2008
Armored Core: For Answer,Action,Ubisoft,X360,2008
Cradle of Rome,Strategy,,Nintendo DS,2008
The Dark Spire,"Adventure,Role-Playing (RPG)",,Nintendo DS,2008
"Flower, Sun and Rain",Adventure,,Nintendo DS,2008
Insecticide,"Action,Adventure",,Nintendo DS,2008
Izuna 2: The Unemployed Ninja Returns,Role-Playing (RPG),,Nintendo DS,2008
Looney Tunes: Cartoon Conductor,Action,Eidos,Nintendo DS,2008
Nanostray 2,Action,,Nintendo DS,2008
Hellboy: The Science of Evil,Action,Konami,Sony PSP,2008
Pipe Mania,Strategy,,Sony PSP,2008
UEFA Euro 2008,Sports,EA,Sony PSP,2008
Vampire Rain,Action,,PlayStation 3,2008
Baroque,"Action,Role-Playing (RPG)",,Nintendo Wii,2008
Supreme Commander,Strategy,,X360,2008
Hail to the Chimp,"Action,Strategy",,X360,2008
Assassin's Creed: Altar's Chronicles,Action,Ubisoft,Nintendo DS,2008
The Legend of Kage 2,Action,SquareEnix,Nintendo DS,2008
Rhapsody: A Musical Adventure,Role-Playing (RPG),,Nintendo DS,2008
Secret Files: Tunguska,Adventure,,Nintendo DS,2008
Fading Shadows,"Action,Adventure",,Sony PSP,2008
Hail to the Chimp,"Action,Strategy",,PlayStation 3,2008
Secret Files: Tunguska,Adventure,,Nintendo Wii,2008
Chicken Hunter,Action,,Nintendo DS,2008
